Entity,Relation,Value
abc_tv,companyeconomicsector,media
bonifacio,citylocatedincountry,__france
hong_kong,countrycurrency,dollars
singapore,countryalsoknownas,republic
singapore,countrycurrency,dollars
ukraine,countrycurrency,dollars
nation,countrycurrency,dollars
thailand,countryalsoknownas,republic
namibia,countrycurrency,dollar
cameroon,countrylocatedingeopoliticallocation,states
iran,countryalsoknownas,republic
countries,countriessuchascountries,germany
thailand,countrycurrency,baht
siege_of_mount_hiei,haswikipediaurl,//en.wikipedia.org/wiki/Siege%20of%20Mount%20Hiei
air_new_zealand,hasofficeincity,christchurch
white_trash_fast_food,restaurantincity,berlin
colin_hanks,parentofperson,tom_hanks
colin_hanks,parentofperson,tom_hanks
colin_hanks,parentofperson,tom_hanks
akita,citylocatedincountry,japan
mike,persongraduatedfromuniversity,state_university
office,synonymfor,united_states
office,synonymfor,united_states
office,synonymfor,united_states
taiwan,locationofearthquake,magnitude_5_4_earthquake_hits_north_taiwan
countries,countriessuchascountries,brazil
barbados,countrycurrency,dollars
moldova,countrycurrency,leu
state_university,teamalsoknownas,michigan_technological_university
state_university,teamalsoknownas,missouri_state_university
minnesota_vikings,teamplayssport,football
humber_college,teamplaysincity,toronto
los_angeles_lakers,teamhomestadium,staples_center
esu_hornets,teamplaysagainstteam,utah_jazz
gibraltar,countrycurrency,pounds
san_antonio,teamplaysagainstteam,los_angeles_lakers
devils,teamplaysagainstteam,pittsburgh_penguins
college,teamplaysinleague,international
hawks,teamplaysincity,atlanta
april_14,timeofbombing,n70_killed_in_nigeria_bus_blasts
night,timeofprotest,kiev_protesters_attack_building_with_police_inside
piedmont_road,streetincity,atlanta
place,streetincity,the_hague
soccer,sportfansincountry,brazil
n5_18,timeofearthquake,big_earthquake_shakes_tokyo__17_injured
n5_18,timeofearthquake,big_earthquake_shakes_tokyo__17_injured
n17_people,victiminearthquake,big_earthquake_shakes_tokyo__17_injured
team,sporthassportsteamposition,shortstop
n3_51am,timeofearthquake,one_dead__30_injured_in_southern_pakistan_quakes
mount_katahdin,mountaininstate,maine
kalw,organizationheadquarteredincity,san_francisco
mount_davis,mountaininstate,pennsylvania
oregon_state_university,teamplaysinleague,international
golf,sportfansincountry,germany
emory_university,teamplaysincity,atlanta
trent_university,teamplaysinleague,international
victoria_university,teamplaysinleague,international
marlins,teamhomestadium,dolphin_stadium
basketball,sportusesstadium,new_orleans_arena
table_tennis,sportusesequipment,balls
table_tennis,sportusesequipment,rackets
table_tennis,sportusesequipment,ball
table_tennis,sportusesequipment,equipment
basketball,sportusesstadium,united_center
baseball,sporthassportsteamposition,shortstop
football,sportfansincountry,usa
great_gatsby,bookwriter,fitzgerald
harry_potter,bookwriter,j_k__rowling
mere_christianity,bookwriter,c__s__lewis
the_great_gatsby,bookwriter,f_scott_fitzgerald
the_great_gatsby,bookwriter,f__scott_fitzgerald
the_great_gatsby,bookwriter,f___scott_fitzgerald
cat_s_cradle,bookwriter,kurt_vonnegut
atlas_shrugged,bookwriter,ayn_rand
fountainhead,bookwriter,ayn_rand
the_fountainhead,bookwriter,ayn_rand
harry_potter_and_the_goblet_of_fire,bookwriter,j_k__rowling
action_movies,moviessuchasmovies,die_hard
action_movies,moviessuchasmovies,die_hard
action_movies,moviessuchasmovies,die_hard
action_movies,moviessuchasmovies,godzilla
action_movies,moviessuchasmovies,godzilla
action_movies,moviessuchasmovies,the_karate_kid
action_movies,moviessuchasmovies,the_karate_kid
neural_networks,mlareaexpert,tom_mitchell
alice_in_wonderland,bookwriter,lewis_carol
anna_karenina,bookwriter,tolstoy
anna_karenina,bookwriter,leo_tolstoy
televisionshows,televisionshowssuchastelevisionshows,anne_of_green_gables
oedipus,bookwriter,sophocles
football,sportusesstadium,heinz_field
great_gatsby,bookwriter,f__scott_fitzgerald
screwtape_letters,bookwriter,lewis
tender_is_the_night,bookwriter,f__scott_fitzgerald
public_health,academicfieldsuchasacademicfield,business
all_the_things_you_are,haswikipediaurl,//en.wikipedia.org/wiki/All%20the%20Things%20You%20Are
world_cup,awardtrophytournamentisthechampionshipgameofthenationalsport,soccer
championships,awardtrophytournamentisthechampionshipgameofthenationalsport,soccer
sherlock_holmes,bookwriter,arthur_conan_doyle
sherlock_holmes,bookwriter,sir_arthur_conan_doyle
and_then_there_were_none,bookwriter,agatha_christie
physical_therapy,academicprogramatuniversity,northeastern_university
naked_lunch,bookwriter,william_burroughs
ambient_intelligence,haswikipediaurl,//en.wikipedia.org/wiki/Ambient%20intelligence
collected_stories,bookwriter,jean_stafford
nba_finals,awardtrophytournamentisthechampionshipgameofthenationalsport,basketball
championships,awardtrophytournamentisthechampionshipgameofthenationalsport,basketball
barnaby_rudge,bookwriter,charles_dickens
barnaby_rudge,bookwriter,charles_dickens
beetlejuice,televisionshowisbasedonmovie,beetlejuice
a_confederacy_of_dunces,bookwriter,john_kennedy_toole
engineering,academicprogramatuniversity,lehigh
engineering,academicprogramatuniversity,princeton
mathematics,academicfieldconcernssubject,proofs
mathematics,academicfieldsuchasacademicfield,geometry
sociology,academicfieldconcernssubject,behavior
persian,languageofcountry,kuwait
persian,languageofcountry,qatar
persian,languageofcountry,oman
english,languageofuniversity,barnard_college
english,languagespokenatisland,manhattan
english_language,languageschoolincity,san_francisco
english,languageofuniversity,auburn_university
macedonian,languageofcountry,republic
education,academicprogramatuniversity,memorial_university
portuguese,languageofcountry,brazil
portuguese,languageofcountry,brazil
latin,languageofuniversity,harvard
english,languageofuniversity,miami_university
russian_language,languageschoolincity,moscow
astronomy,academicfieldconcernssubject,stars
astronomy,academicfieldhassubfield,observational_astronomy
astronomy,academicfieldhassubfield,theoretical_astromony
sleep,emotionassociatedwithdisease,condition
all_star_game,sportsgamedate,n2006
all_star_game,sportsgamedate,n2006
all_star_game,sportsgamedate,n2006
hobbies,hobbiessuchashobbies,antiques
action_games,videogamessuchasvideogames,assassin_s_creed_2
action_games,videogamessuchasvideogames,assassin_s_creed_2
action_games,videogamessuchasvideogames,dynasty_warriors_6
action_games,videogamessuchasvideogames,dynasty_warriors_6
series,sportsgameteam,falcons
match,sportsgameteam,brazil
nausea,emotionassociatedwithdisease,symptoms
n2004_world_series,sportsgamesport,baseball
n2004_world_series,sportsgamesport,baseball
eastern_conference,sportsgamescore,3-2
world_cup,sportsgamedate,n2008
finals,sportsgameteam,blackhawks
rts_games,videogamessuchasvideogames,age_of_empires_2
rts_games,videogamessuchasvideogames,age_of_empires_2
rts_games,videogamessuchasvideogames,age_of_empires_2
rts_games,videogamessuchasvideogames,age_of_empires_2
rts_games,videogamessuchasvideogames,age_of_empires_2
armored_core_2,haswikipediaurl,//en.wikipedia.org/wiki/Armored%20Core%202
anger,emotionassociatedwithdisease,disorders
anger,emotionassociatedwithdisease,disorders
anger,emotionassociatedwithdisease,symptoms
anger,emotionassociatedwithdisease,symptoms
doom_4,haswikipediaurl,//en.wikipedia.org/wiki/Doom%204
mario_kart_64,haswikipediaurl,//en.wikipedia.org/wiki/Mario%20Kart%2064
hobbies,hobbiessuchashobbies,horse_riding
n1998_world_series,sportsgamewinner,yankees
n2003_british_open,sportsgamesport,golf
world_cup,sportsgameteam,france
finals,sportsgamescore,0-2
finals,sportsgamescore,0-2
irritability,emotionassociatedwithdisease,disorder
hobbies,hobbiessuchashobbies,racquetball
hobbies,hobbiessuchashobbies,ice_hockey
hobbies,hobbiessuchashobbies,ice_hockey
n2009_world_series,sportsgamewinner,yankees
n1966_world_series,sportsgamesport,baseball
world_cup,sportsgamewinner,brazil
world_cup,sportsgamewinner,brazil
sky,thinghascolor,blue
sky,thinghascolor,blue
trees,plantincludeplant,apple_trees
hollywood_bowl,sportsgamedate,n2005
trees,plantincludeplant,evergreens
trees,plantincludeplant,fir
n1962_world_series,sportsgamewinner,yankees
n1995_world_series,sportsgamesport,baseball
journalism,academicprogramatuniversity,stanford
n1958_world_series,sportsgamesport,baseball
cypresses,plantincludeplant,trees
trees,plantincludeplant,horse_chestnut
trees,plantincludeplant,oleander
blue,colorassociatedwithvisualizableattribute,cloud
blue,colorassociatedwithvisualizableattribute,flesh
n5_8,magnitudeofearthquaque,big_earthquake_shakes_tokyo__17_injured
english_language,languageschoolincity,cape_town
english_language,languageschoolincity,cape_town
english,languageofuniversity,new_york_university
engineering,academicprogramatuniversity,john_hopkins_university
education,academicfieldsuchasacademicfield,arts
n2006_world_series,sportsgamedate,october_2006
flowers,plantrepresentemotion,love
flowers,plantrepresentemotion,love
orchids,plantrepresentemotion,love
activities,hobbiessuchashobbies,fishing
activities,hobbiessuchashobbies,fishing
activities,hobbiessuchashobbies,fishing
hobbies,hobbiessuchashobbies,fishing
pastimes,hobbiessuchashobbies,fishing
recreational_activities,hobbiessuchashobbies,fishing
acacia,plantincludeplant,tree
english,languageofcountry,the_united_kingdom
hypotenuse,thinghasshape,right_triangle
n1939_world_series,sportsgamesport,baseball
n1984_world_series,sportsgamesport,baseball
sleep,emotionassociatedwithdisease,abnormalities
kindness,haswikipediaurl,//en.wikipedia.org/wiki/Kindness
ski,sportschoolincountry,germany
alcs,sportsgamesport,baseball
english,languageofuniversity,luther_college
latin,languageofuniversity,indiana_university
n1918_world_series,sportsgamesport,baseball
match,sportsgameteam,devils
season_opener,sportsgamescore,0-1
football,sportschoolincountry,britain
summer_activities,hobbiessuchashobbies,fishing
first_world_series,sportsgamesport,baseball
redwall,bookwriter,brian_jacques
redwall,bookwriter,brian_jacques
french,languageofuniversity,la_sorbonne
latin,languageschoolincity,jerusalem
gymnastics,sportusesequipment,football
gymnastics,sportusesequipment,equipment
medals,awardtrophytournamentisthechampionshipgameofthenationalsport,gymnastics
handball,sportusesequipment,ball
ice_hockey,sportusesequipment,skates
spanish,languageofuniversity,california_state_university
english,languageofuniversity,manchester_metropolitan_university
a_study_in_scarlet,bookwriter,arthur_conan_doyle
eldest,bookwriter,christopher_paolini
english,languageofuniversity,tufts
activities,hobbiessuchashobbies,hiking
activities,hobbiessuchashobbies,skiing
activities,hobbiessuchashobbies,golfing
roses,plantrepresentemotion,deep_love
how_to_read_a_book,haswikipediaurl,//en.wikipedia.org/wiki/How%20to%20Read%20a%20Book
semifinals,awardtrophytournamentisthechampionshipgameofthenationalsport,soccer
outdoor_sports,sportusesequipment,football
outdoor_sports,sportusesequipment,football
outdoor_sports,sportusesequipment,football
the_colour_of_magic,bookwriter,terry_pratchett
against_the_day,bookwriter,thomas_pynchon
a_christmas_carol,bookwriter,charles_dickens
a_tale_of_two_cities,bookwriter,charles_dickens
christmas_carol,bookwriter,charles_dickens
english,languageofuniversity,stanford_university
adventure_activities,hobbiessuchashobbies,rafting
art,academicfieldsuchasacademicfield,literature
art,academicfieldsuchasacademicfield,graphic_design
art,academicprogramatuniversity,college
history,academicfieldconcernssubject,the_past
history,academicfieldhassubfield,cultural_history
history,academicfieldhassubfield,military_history
biology,academicfieldsuchasacademicfield,environment
climate_stewardship_act,politicsbillconcernsissue,environment
roses,plantrepresentemotion,love
english,languageofuniversity,american_university
creatures,animalpreyson,ticks
fan_palms,plantincludeplant,trees
apple_trees,plantincludeplant,trees
oleander,plantincludeplant,trees
oleander,plantincludeplant,trees
cherry_trees,plantincludeplant,trees
bushes,plantgrowinginplant,grass
canadian_football,haswikipediaurl,//en.wikipedia.org/wiki/Canadian%20football
technology,academicfieldsuchasacademicfield,doctoral_degrees
sadness,emotionassociatedwithdisease,symptoms
sadness,emotionassociatedwithdisease,depression
sadness,emotionassociatedwithdisease,disorder
latent_semantic_analysis,haswikipediaurl,//en.wikipedia.org/wiki/Latent%20semantic%20analysis
advil,drugpossiblytreatsphysiologicalcondition,headache
german,languageofcity,oberwesel
n1998_world_series,sportsgamesport,baseball
russian,languageofuniversity,princeton_university
mycobacterium,bacteriaisthecausativeagentofphysiologicalcondition,mycobacterium_tuberculosis
english,languageofcountry,iran
technology,academicfieldsuchasacademicfield,international_affairs
spanish,languageofcity,madrid
spanish,languageofcountry,costa_rica
spanish,languageofcountry,el_salvador
logistic_regression,haswikipediaurl,//en.wikipedia.org/wiki/Logistic%20regression
bcs_national_championship_game,sportsgamewinner,florida_gators
technology,academicfieldsuchasacademicfield,higher_education
activities,hobbiessuchashobbies,bike_riding
technology,academicfieldsuchasacademicfield,electrical_engineer
engineering,academicprogramatuniversity,uc_davis
futsal,sportfansincountry,brazil
tylenol,drugpossiblytreatsphysiologicalcondition,headache
anachronox,haswikipediaurl,//en.wikipedia.org/wiki/Anachronox
virtua_fighter_animation,haswikipediaurl,//en.wikipedia.org/wiki/Virtua%20Fighter%20Animation
chuck_rock,haswikipediaurl,//en.wikipedia.org/wiki/Chuck%20Rock
colony_wars__red_sun,haswikipediaurl,//en.wikipedia.org/wiki/Colony%20Wars%3A%20Red%20Sun
ultima_iv,haswikipediaurl,//en.wikipedia.org/wiki/Ultima%20IV%3A%20Quest%20of%20the%20Avatar
pride_and_prejudice,bookwriter,austen
classic_books,booksuchasbook,pride_and_prejudice
final_fantasy_xii__revenant_wings,haswikipediaurl,//en.wikipedia.org/wiki/Final%20Fantasy%20XII%3A%20Revenant%20Wings
tropical_flowers,plantgrowinginplant,trees
all_the_pretty_horses,bookwriter,cormac_mccarthy
n1977_world_series,sportsgamesport,baseball
football,sportschoolincountry,russia
russian,languageofcountry,latvia
activities,hobbiessuchashobbies,sailing
activities,hobbiessuchashobbies,abseiling
outdoor_recreation,hobbiessuchashobbies,biking
ambien,drugpossiblytreatsphysiologicalcondition,sleep
baseball,sportusesstadium,candlestick_park
depression,emotionassociatedwithdisease,anxiety
depression,emotionassociatedwithdisease,clinical_depression
depression,emotionassociatedwithdisease,bipolar_depression
depression,emotionassociatedwithdisease,bipolar_disorder
kannada,languageofcountry,republic_of_india
ambien,drugpossiblytreatsphysiologicalcondition,pain
middlesex,bookwriter,jeffrey_eugenides
outdoor_activities,hobbiessuchashobbies,water_sports
baseball,sportusesstadium,great_american_ball_park
engineering,academicprogramatuniversity,polytechnic_university
english,languageofcountry,england
french,languageofuniversity,emory_university
miami_university,teamplayssport,football
win,sportsgamewinner,red_sox
billiards,sportusesequipment,cue
sciences,academicfieldsuchasacademicfield,journalism
english,languageofuniversity,trinity_college
cavaliers,teamplaysincity,cleveland
croatian,languageofcountry,croatia
stress_disorder,emotionassociatedwithdisease,anxiety
yankees,teamhomestadium,yankee_stadium
electrical_engineering,academicprogramatuniversity,ohio_state
chicago_cubs,teamwontrophy,division
countries,countriessuchascountries,new_zealand
arabic,languageofcountry,israel
activities,hobbiessuchashobbies,biking
outdoor_activities,hobbiessuchashobbies,biking
outdoor_activities,hobbiessuchashobbies,biking
hobbies,hobbiessuchashobbies,biking
hobbies,hobbiessuchashobbies,biking
pursuits,hobbiessuchashobbies,biking
baseball,sportusesstadium,shea_stadium
pythium_irregulare,haswikipediaurl,//en.wikipedia.org/wiki/Pythium%20irregulare
the_da_vinci_code,bookwriter,dan_brown
denali,mountaininstate,alaska
leopards,animalpreyson,animals
large_animals,animalistypeofanimal,deer
cat,animalpreyson,pet
horses,mammalsuchasmammal,bears
sierra_del_tontal_chinchilla_rat,haswikipediaurl,//en.wikipedia.org/wiki/Sierra%20del%20Tontal%20Chinchilla%20Rat
children,animaldevelopdisease,terminal_illnesses
cattle,agriculturalproductcomingfromvertebrate,herds
cattle,agriculturalproductcomingfromvertebrate,herds
cattle,animaleatvegetable,corn
cattle,animalistypeofanimal,ruminants
boreal_toad,haswikipediaurl,//en.wikipedia.org/wiki/Boreal%20Toad
bear,mammalsuchasmammal,lions
aardvark,mammaleatsinsect,ant
aardvark,mammaleatsinsect,termite
whales,animalistypeofanimal,sea_mammals
salamanders,amphibiansuchasamphibian,california_tiger_salamander
bear,mammalsuchasmammal,orca
children,animaldevelopdisease,abnormalities
children,animaldevelopdisease,life_limiting_illness
bears,animaleatfood,strawberry
marine_life,animalsuchasinvertebrate,clams
sperm_whales,animalistypeofanimal,cetaceans
dogs,animalpreyson,natural_enemies
children,animaldevelopdisease,acute_leukemia
ungulates,animalpreyson,deer
caribou,animalistypeofanimal,ungulates
ungulates,animalpreyson,cattle
english,languageofcountry,republic_of_kenya
rose_bowl,awardtrophytournamentisthechampionshipgameofthenationalsport,football
pirates,teamalsoknownas,red_sox
rodents,animalistypeofanimal,rats
pigs,animalistypeofanimal,animals
pigs,animalistypeofanimal,animals
pigs,agentparticipatedinevent,result
pigs,animaleatvegetable,corn
calves,animalistypeofanimal,animals
mammals,animalistypeofanimal,bats
dog,animalistypeofanimal,pet
animals,animalistypeofanimal,badgers
bass,fishservedwithfood,sauce
salmon,fishservedwithfood,cream_cheese
swordfish,fishservedwithfood,butter
trout,fishservedwithfood,rice_pilaf
trout,fishservedwithfood,chips
trout,fishservedwithfood,salsa
trout,fishservedwithfood,sauce
animals,animalpreyson,calves
animals,animalistypeofanimal,calves
larvae,invertebratefeedonfood,plant_roots
cougar,animalistypeofanimal,animals
child,animaldevelopdisease,abnormalities
arthropods,animalpreyson,ticks
mollusks,animalsuchasinsect,invertebrates
koalas,animalistypeofanimal,animals
molluscs,animalsuchasinvertebrate,snails
arthropods,arthropodcalledarthropod,ticks
snakes,animalistypeofanimal,vertebrates
snakes,animalistypeofanimal,vertebrates
snakes,animalpreyson,reptiles
salmon,fishservedwithfood,pancakes
shellfish,animalsuchasinvertebrate,oysters
prey,animalsuchasinsect,grasshoppers
tarantulas,arachnidiseatenbybird,exotic_birds
hornets,animalpreyson,insects
insects,arthropodcalledarthropod,mantids
insects,arthropodcalledarthropod,parasitic_wasps
gnats,arthropodcalledarthropod,insects
pests,arthropodcalledarthropod,aphids
zoea,haswikipediaurl,//en.wikipedia.org/wiki/Crustacean%20larvae
elk,animalistypeofanimal,ungulates
elk,animalistypeofanimal,ungulates
elk,animalistypeofanimal,herbivores
elk,animalistypeofanimal,big_game
elk,animalistypeofanimal,animals
mollusks,animalsuchasinvertebrate,snails
chicken,animaleatfood,red_wine_sauce
chicken,animaleatfood,brie
chicken,animaleatfood,pizza
chicken,animaleatfood,bleu_cheese
chicken,animaleatfood,cheddar
chicken,animaleatfood,cheddar
chicken,animaleatfood,fontina_cheese
chicken,animaleatfood,pepper_jack_cheese
moxico,haswikipediaurl,//en.wikipedia.org/wiki/Moxico%20Province
babies,animaldevelopdisease,abnormalities
carbon_dioxide_emission,chemicalistypeofchemical,fuels
orange_county,subpartof,california
dragons,animalistypeofanimal,beasts
prog,musicgenressuchasmusicgenres,rock
hard_house,haswikipediaurl,//en.wikipedia.org/wiki/UK%20hard%20house
thrash_metal,musicgenressuchasmusicgenres,metal
three,numberofkilledinbombing,three_killed_in_lebanese_suicide_bombing
